Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
02/08/2025 12:45;SUD;-25,854;-;-307,352;-54,104;162,417;0;162,417
02/08/2025 12:45;NORD;289,989;+;307,352;469,657;80,342;0;80,342
02/08/2025 13:00;NORD;148,443;+;384,133;510,077;43,388;0;43,388
02/08/2025 13:00;SUD;-13,823;-;-384,133;-54,018;162,417;0;162,417
02/08/2025 13:15;NORD;175,259;+;432,55;458,538;25,66;0;25,66
02/08/2025 13:15;SUD;80,563;+;-432,55;-55,387;21,759;0;21,759
02/08/2025 13:30;SUD;148,022;+;-424,152;-55,258;16,161;0;16,161
02/08/2025 13:30;NORD;212,047;+;424,152;450,858;20,348;0;20,348
02/08/2025 13:45;SUD;274,27;+;-454,893;-53,896;9,003;0;9,003
02/08/2025 13:45;NORD;189,284;+;454,893;438,068;17,947;0;17,947
02/08/2025 14:00;NORD;95,796;+;370,313;521,385;35,908;0;35,908
02/08/2025 14:00;SUD;163,617;+;-370,313;-54,987;9,072;0;9,072
02/08/2025 14:15;NORD;227,145;+;378,497;435,444;43,281;0;43,281
02/08/2025 14:15;SUD;254,864;+;-378,497;-56,198;9,68;0;9,68
02/08/2025 14:30;SUD;326,126;+;-424,969;-55,557;11,257;-1,257;10
02/08/2025 14:30;NORD;226,287;+;424,969;399,45;35,031;0;35,031
02/08/2025 14:45;SUD;317,169;+;-433,417;-56,207;11,318;-1,318;10
02/08/2025 14:45;NORD;236,099;+;433,417;472,177;17,398;0;17,398
02/08/2025 15:00;NORD;192,184;+;378,966;569,1;35,442;0;35,442
02/08/2025 15:00;SUD;169,339;+;-378,966;-59,647;12,282;-2,282;10
02/08/2025 15:15;NORD;200,615;+;357,388;493,617;53,267;0;53,267
02/08/2025 15:15;SUD;107,23;+;-357,388;-62,958;9,709;0;9,709
02/08/2025 15:30;SUD;98,818;+;-348,559;-65,643;9,516;0;9,516
02/08/2025 15:30;NORD;193,82;+;348,559;499,771;1,602;0;1,602
02/08/2025 15:45;SUD;60,37;+;-318,264;-66,338;12,747;-2,747;10
02/08/2025 15:45;NORD;188,478;+;318,264;494,893;0;0;0
02/08/2025 16:00;NORD;358,859;+;222,546;652,336;2,677;0;2,677
02/08/2025 16:00;SUD;230,855;+;-222,546;-58,032;6,756;0;6,756
02/08/2025 16:15;NORD;358,218;+;131,317;846,722;4,757;0;4,757
02/08/2025 16:15;SUD;210,331;+;-131,317;-59,643;9,216;0;9,216
02/08/2025 16:30;SUD;202,69;+;-92,554;-63,454;8,99;0;8,99
02/08/2025 16:30;NORD;307,86;+;92,554;872,406;12,09;0;12,09
02/08/2025 16:45;SUD;150,53;+;-52,845;-68,598;9,505;0;9,505
02/08/2025 16:45;NORD;314,51;+;52,845;902,481;12,441;0;12,441
02/08/2025 17:00;NORD;422,043;+;-109,519;1.145,24;6,522;0;6,522
02/08/2025 17:00;SUD;396,235;+;109,519;-78,234;5,877;0;5,877
02/08/2025 17:15;NORD;351,498;+;-181,047;1.278,93;0,043;0;0,043
