MTU (CET/CEST);Generation - Solar [MW] Day Ahead/ Italy (IT);Generation - Solar [MW] Intraday / Italy (IT);Generation - Solar [MW] Current / Italy (IT);Generation - Wind Offshore [MW] Day Ahead/ Italy (IT);Generation - Wind Offshore [MW] Intraday / Italy (IT);Generation - Wind Offshore [MW] Current / Italy (IT);Generation - Wind Onshore [MW] Day Ahead/ Italy (IT);Generation - Wind Onshore [MW] Intraday / Italy (IT);Generation - Wind Onshore [MW] Current / Italy (IT)
02.01.2025 16:15 - 02.01.2025 16:30;307;N/A;336;n/e;n/e;n/e;2014;1919;n/e
02.01.2025 16:30 - 02.01.2025 16:45;86;N/A;102;n/e;n/e;n/e;2007;1889;n/e
02.01.2025 16:45 - 02.01.2025 17:00;6;N/A;6;n/e;n/e;n/e;1855;1844;n/e
02.01.2025 17:00 - 02.01.2025 17:15;6;N/A;6;n/e;n/e;n/e;1962;1859;n/e
02.01.2025 17:15 - 02.01.2025 17:30;0;N/A;0;n/e;n/e;n/e;1991;1839;n/e
02.01.2025 17:30 - 02.01.2025 17:45;0;N/A;0;n/e;n/e;n/e;2056;1857;n/e
02.01.2025 17:45 - 02.01.2025 18:00;0;N/A;0;n/e;n/e;n/e;2060;1931;n/e
02.01.2025 18:00 - 02.01.2025 18:15;0;N/A;0;n/e;n/e;n/e;2056;1845;n/e
02.01.2025 18:15 - 02.01.2025 18:30;0;N/A;0;n/e;n/e;n/e;2039;1829;n/e
02.01.2025 18:30 - 02.01.2025 18:45;0;N/A;0;n/e;n/e;n/e;2085;1790;n/e
02.01.2025 18:45 - 02.01.2025 19:00;0;N/A;0;n/e;n/e;n/e;2071;1759;n/e
02.01.2025 19:00 - 02.01.2025 19:15;0;N/A;0;n/e;n/e;n/e;2168;1780;n/e
02.01.2025 19:15 - 02.01.2025 19:30;0;N/A;0;n/e;n/e;n/e;2155;1865;n/e
02.01.2025 19:30 - 02.01.2025 19:45;0;N/A;0;n/e;n/e;n/e;2291;1969;n/e
02.01.2025 19:45 - 02.01.2025 20:00;0;N/A;0;n/e;n/e;n/e;2393;2061;n/e
02.01.2025 20:00 - 02.01.2025 20:15;0;N/A;0;n/e;n/e;n/e;2226;2101;n/e
02.01.2025 20:15 - 02.01.2025 20:30;0;N/A;0;n/e;n/e;n/e;2343;2135;n/e
02.01.2025 20:30 - 02.01.2025 20:45;0;N/A;0;n/e;n/e;n/e;2652;2226;n/e
02.01.2025 20:45 - 02.01.2025 21:00;0;N/A;0;n/e;n/e;n/e;2734;2292;n/e
02.01.2025 21:00 - 02.01.2025 21:15;0;N/A;0;n/e;n/e;n/e;2829;2711;n/e
02.01.2025 21:15 - 02.01.2025 21:30;0;N/A;0;n/e;n/e;n/e;2963;2893;n/e
02.01.2025 21:30 - 02.01.2025 21:45;0;N/A;0;n/e;n/e;n/e;2904;2921;n/e
02.01.2025 21:45 - 02.01.2025 22:00;0;N/A;0;n/e;n/e;n/e;2811;2866;n/e
02.01.2025 22:00 - 02.01.2025 22:15;0;N/A;0;n/e;n/e;n/e;2874;2799;n/e
02.01.2025 22:15 - 02.01.2025 22:30;0;N/A;0;n/e;n/e;n/e;2918;2717;n/e
02.01.2025 22:30 - 02.01.2025 22:45;0;N/A;0;n/e;n/e;n/e;3058;2721;n/e
02.01.2025 22:45 - 02.01.2025 23:00;0;N/A;0;n/e;n/e;n/e;3159;2851;n/e
02.01.2025 23:00 - 02.01.2025 23:15;0;N/A;0;n/e;n/e;n/e;3170;2902;n/e
02.01.2025 23:15 - 02.01.2025 23:30;0;N/A;0;n/e;n/e;n/e;3232;2973;n/e
02.01.2025 23:30 - 02.01.2025 23:45;0;N/A;0;n/e;n/e;n/e;3363;3162;n/e
02.01.2025 23:45 - 03.01.2025 00:00;0;N/A;0;n/e;n/e;n/e;3309;3255;n/e
03.01.2025 00:00 - 03.01.2025 00:15;0;N/A;0;n/e;n/e;n/e;3261;3261;n/e
03.01.2025 00:15 - 03.01.2025 00:30;0;N/A;0;n/e;n/e;n/e;3286;3286;n/e
03.01.2025 00:30 - 03.01.2025 00:45;0;N/A;0;n/e;n/e;n/e;3275;3275;n/e
03.01.2025 00:45 - 03.01.2025 01:00;0;N/A;0;n/e;n/e;n/e;3366;3366;n/e
03.01.2025 01:00 - 03.01.2025 01:15;0;N/A;0;n/e;n/e;n/e;3459;3459;n/e
03.01.2025 01:15 - 03.01.2025 01:30;0;N/A;0;n/e;n/e;n/e;3532;3532;n/e
03.01.2025 01:30 - 03.01.2025 01:45;0;N/A;0;n/e;n/e;n/e;3559;3559;n/e
03.01.2025 01:45 - 03.01.2025 02:00;0;N/A;0;n/e;n/e;n/e;3534;3534;n/e
03.01.2025 02:00 - 03.01.2025 02:15;0;N/A;0;n/e;n/e;n/e;3513;3513;n/e
03.01.2025 02:15 - 03.01.2025 02:30;0;N/A;0;n/e;n/e;n/e;3463;3463;n/e
03.01.2025 02:30 - 03.01.2025 02:45;0;N/A;0;n/e;n/e;n/e;3367;3367;n/e
